,cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
466,91,0,83,53,57,258,199,100,413
467,130,0,34,142,17,132,263,100,553
468,105,0,136,35,75,223,151,100,700
469,95,0,45,67,35,183,293,100,601
470,132,0,68,145,20,223,120,100,534
471,260,10,12,43,74,154,73,28,750
472,260,10,12,43,74,154,73,28,606
473,260,10,12,43,74,154,73,28,675
474,260,10,12,43,61,154,73,28,703
475,260,10,12,43,74,154,73,3,444
476,260,10,12,43,74,154,73,3,250
477,260,10,12,43,74,154,73,3,213
478,260,10,12,43,74,154,73,7,685
479,260,10,12,43,74,154,73,7,486
480,260,10,12,43,74,154,73,7,513
481,260,10,12,43,74,154,73,56,774
482,260,10,12,43,74,154,73,56,738
483,260,10,12,43,74,154,73,56,724
484,260,10,12,43,61,154,73,56,718
485,247,8,29,27,90,116,250,28,664
486,247,8,29,27,88,116,250,28,628
487,247,8,29,27,74,116,250,28,628
488,247,8,29,27,90,116,250,3,204
489,247,8,29,27,88,116,250,3,262
490,247,8,29,27,74,116,250,3,435
491,247,8,29,27,90,116,250,7,462
492,247,8,29,27,88,116,250,7,620
493,247,8,29,27,74,116,250,7,561
494,247,8,29,27,90,116,250,56,739
495,247,8,29,27,88,116,250,56,643
496,247,8,29,27,74,116,250,56,778
497,231,7,37,11,87,154,273,28,596
498,231,7,37,11,81,154,273,28,726
499,267,11,77,176,10,65,63,28,729
500,267,11,77,165,10,11,63,28,755
501,267,11,77,176,10,65,63,3,265
502,267,11,77,176,10,65,63,7,411
503,267,11,77,176,10,65,63,56,765
504,267,11,77,165,10,11,63,3,325
505,267,11,77,165,10,11,63,7,483
506,267,11,77,165,10,11,63,56,780
507,255,9,94,93,44,11,115,28,784
508,255,9,94,93,44,65,115,3,371
509,255,9,94,59,48,11,115,28,823
510,255,9,94,93,44,11,115,7,504
511,255,9,94,93,44,11,115,56,794
512,255,9,94,59,48,11,115,3,376
513,255,9,94,59,48,11,115,7,538
514,255,9,94,59,48,11,115,56,830
515,98,1,107,174,1,123,204,28,194
516,98,1,107,174,1,123,204,3,35
517,98,1,107,174,1,123,204,7,107
518,98,1,107,174,1,123,204,56,212
519,165,3,107,98,18,29,204,28,592
520,165,3,107,98,18,29,204,3,81
521,165,3,107,98,18,29,204,7,230
522,165,3,107,98,18,29,204,56,607
523,234,7,107,21,67,123,204,28,786
524,234,7,107,21,67,123,204,28,764
525,234,7,107,21,67,123,204,3,253
526,234,7,107,21,67,123,204,3,217
527,234,7,107,21,67,123,204,7,446
528,234,7,107,21,67,123,204,7,498
529,234,7,107,21,67,123,204,56,814
530,234,7,107,21,67,123,204,56,801
531,258,0,0,184,0,26,80,28,224
532,172,0,0,143,0,88,289,90,374
533,172,0,0,143,0,88,289,3,56
534,250,0,0,143,0,119,183,3,157
535,250,0,0,143,0,119,183,90,652
536,250,0,0,143,0,119,183,28,525
537,265,0,0,143,0,115,74,28,595
538,265,0,0,143,0,115,74,7,431
539,265,0,0,143,0,115,74,90,715
540,265,0,0,143,0,115,74,3,236
541,221,0,0,143,0,108,247,3,118
542,139,0,0,143,0,71,300,90,190
543,139,0,0,143,0,71,300,7,40
544,172,0,0,143,0,88,289,7,97
545,139,0,0,143,0,71,300,28,153
546,221,0,0,143,0,108,247,28,370
547,221,0,0,143,0,108,247,7,214
548,172,0,0,143,0,88,289,28,264
549,221,0,0,143,0,108,247,90,562
550,250,0,0,143,0,119,183,7,300
551,139,0,0,143,0,71,300,3,22
552,60,167,0,121,0,222,95,7,31
553,127,184,0,121,0,122,29,7,258
554,126,103,0,121,0,222,95,7,119
555,85,177,0,121,0,203,77,28,305
556,94,180,0,121,0,184,65,28,382
557,141,123,0,121,0,213,85,7,132
558,153,133,0,121,0,203,77,7,163
559,127,184,0,121,0,122,29,28,519
560,111,94,0,121,0,235,106,28,270
561,251,0,0,121,0,222,95,28,400
562,245,0,0,121,0,228,101,7,228
563,100,182,0,121,0,167,48,7,189
564,60,167,0,121,0,222,95,28,177
565,177,0,0,121,0,267,148,7,101
566,141,123,0,121,0,213,85,28,373
567,99,76,0,121,0,256,130,7,58
568,251,0,0,121,0,222,95,7,259
569,243,0,0,121,0,271,178,28,199
570,177,0,0,121,0,267,148,28,256
571,114,183,0,121,0,142,34,28,529
572,111,94,0,121,0,235,106,7,73
573,203,157,0,121,0,167,48,28,500
574,9,150,0,121,0,256,130,7,15
575,125,0,0,121,0,276,186,28,139
576,227,0,0,121,0,250,120,7,179
577,9,150,0,121,0,256,130,28,149
578,94,180,0,121,0,184,65,7,130
579,99,76,0,121,0,256,130,28,202
580,173,146,0,121,0,184,65,7,190
581,85,177,0,121,0,203,77,7,63
582,78,100,0,121,0,213,85,28,269
583,100,182,0,121,0,167,48,28,481
584,114,183,0,121,0,142,34,7,192
585,173,146,0,121,0,184,65,28,397
586,243,0,0,121,0,271,178,7,95
587,126,103,0,121,0,222,95,28,287
588,89,64,0,121,0,260,142,7,20
589,227,0,0,121,0,250,120,28,369
590,125,0,0,121,0,276,186,7,41
591,137,0,0,121,0,273,178,28,163
592,245,0,0,121,0,228,101,28,477
593,137,0,0,121,0,273,178,7,54
594,203,157,0,121,0,167,48,7,238
595,89,64,0,121,0,260,142,28,140
596,78,100,0,121,0,213,85,7,46
597,153,133,0,121,0,203,77,28,357
598,226,0,0,157,0,157,171,3,77
599,226,0,0,157,0,157,171,7,174
600,226,0,0,157,0,157,171,14,291
601,226,0,0,157,0,157,171,28,372
602,226,0,0,157,0,157,171,90,439
603,226,0,0,157,0,157,171,180,457
604,226,0,0,157,0,157,171,365,503
605,120,0,0,149,0,157,282,3,8
606,120,0,0,149,0,157,282,14,72
607,120,0,0,149,0,157,282,28,152
608,120,0,0,149,0,157,282,90,193
609,120,0,0,146,0,157,282,180,229
610,120,0,0,146,0,157,282,365,251
611,159,0,0,139,0,157,260,14,180
612,159,0,0,139,0,157,260,28,272
613,159,0,0,139,0,157,260,3,50
614,159,0,0,139,0,157,260,90,354
615,159,0,0,139,0,157,260,180,379
616,159,0,0,139,0,157,260,360,417
617,138,0,0,159,0,157,266,3,28
618,138,0,0,159,0,157,266,90,289
619,138,0,0,159,0,157,266,180,297
620,138,0,0,159,0,157,266,365,331
621,193,0,0,146,0,157,219,180,429
622,193,0,0,146,0,157,219,365,452
623,193,0,0,146,0,157,219,3,67
624,193,0,0,146,0,157,219,28,296
625,193,0,0,146,0,157,219,90,392
626,120,0,0,146,0,157,282,7,37
627,97,0,0,101,0,280,250,7,19
628,97,0,0,101,0,280,250,28,62
629,113,0,0,105,0,274,244,7,49
630,113,0,0,105,0,274,244,28,134
631,214,0,0,118,0,246,176,7,137
632,214,0,0,118,0,246,176,28,345
633,155,0,0,115,0,264,216,7,91
634,155,0,0,115,0,264,216,28,241
635,186,0,0,118,0,254,196,7,116
636,186,0,0,118,0,254,196,28,285
637,239,0,0,123,0,220,127,7,274
638,239,0,0,123,0,220,127,28,490
639,252,0,0,126,0,212,108,28,591
640,252,0,0,126,0,212,108,7,338
641,130,0,0,112,0,269,228,7,70
642,130,0,0,112,0,269,228,28,172
643,230,0,0,123,0,231,149,7,167
644,230,0,0,123,0,231,149,28,427
645,99,181,0,173,0,150,8,7,161
646,131,116,0,173,0,168,52,90,638
647,56,163,0,143,0,112,172,90,586
648,16,158,0,173,0,161,111,28,333
649,73,173,0,173,0,166,51,3,11
650,3,136,0,173,0,144,202,90,403
651,87,63,0,173,0,146,201,3,5
652,0,99,0,143,0,69,298,3,2
653,0,99,0,143,0,69,298,90,260
654,3,136,0,173,0,144,202,28,233
655,73,173,0,173,0,166,51,28,423
656,97,73,0,143,0,152,214,3,52
657,1,108,0,173,0,117,253,28,169
658,192,150,0,173,0,152,9,7,271
659,1,108,0,173,0,117,253,90,321
660,2,125,0,143,0,86,285,90,350
661,16,158,0,173,0,161,111,7,44
662,56,163,0,143,0,112,172,28,415
663,5,148,0,143,0,105,245,28,303
664,131,116,0,173,0,168,52,7,158
665,80,51,0,143,0,130,262,7,51
666,93,179,0,143,0,106,78,3,71
667,93,179,0,143,0,106,78,28,514
668,47,40,0,143,0,70,299,3,3
669,170,145,0,143,0,110,79,3,123
670,192,150,0,173,0,152,9,28,586
671,120,102,0,143,0,162,113,7,168
672,80,51,0,143,0,130,262,3,12
673,101,85,0,173,0,163,115,7,104
674,120,102,0,143,0,162,113,3,85
675,87,63,0,173,0,146,201,90,381
676,73,173,0,173,0,166,51,7,120
677,0,99,0,143,0,69,298,7,16
678,170,145,0,143,0,110,79,28,502
679,101,85,0,173,0,163,115,28,394
680,0,99,0,143,0,69,298,28,133
681,80,51,0,143,0,130,262,28,232
682,87,63,0,173,0,146,201,28,227
683,5,148,0,143,0,105,245,90,459
684,93,179,0,143,0,106,78,90,671
685,5,148,0,143,0,105,245,7,87
686,192,150,0,173,0,152,9,3,90
687,120,102,0,143,0,162,113,90,640
688,1,108,0,173,0,117,253,3,0
689,56,163,0,143,0,112,172,7,128
690,170,145,0,143,0,110,79,7,216
691,101,85,0,173,0,163,115,3,9
692,101,85,0,173,0,163,115,90,529
693,47,40,0,143,0,70,299,28,144
694,120,102,0,143,0,162,113,28,390
695,2,125,0,143,0,86,285,28,197
